% Model,Smooth_Finite_PML_TM30_300GHz_COMSOL61_with_S11.mph
% Version,COMSOL 6.4.0.429
% Date,"Aug 22 2026, 14:43"
% Dimension,2
% Nodes,1338
% Expressions,13
% Description,"Observation angle from upward normal, Re normalized angular field, Im normalized angular field, Normalized angular field magnitude, Normalized angular field magnitude, dB, Normalized angular field phase, Normalized angular intensity, Re scattered E at 1 m, Im scattered E at 1 m, Scattered E magnitude at 1 m, Scattered E phase at 1 m, 2D scattering width, 2D scattering width, dB relative to 1 m"
% Length unit,mm
% X,Y,theta_obs (deg) @ freq=300,real(Sang_complex) (1) @ freq=300,imag(Sang_complex) (1) @ freq=300,Sang_magnitude (1) @ freq=300,Sang_dB @ freq=300,Sang_phase (deg) @ freq=300,Sang_power (1) @ freq=300,real(Escat_far_complex) (V/m) @ freq=300,imag(Escat_far_complex) (V/m) @ freq=300,Escat_far_magnitude (V/m) @ freq=300,Escat_far_phase (deg) @ freq=300,sigma2D (m) @ freq=300,sigma2D_dB @ freq=300
-18.08103624364626,1,-72.32414497458504,4.133992102242312E-4,-8.953166179111693E-4,9.861877856104314E-4,-60.12097598850515,-65.21246564031371,9.726047794765478E-7,0.001265618099378534,5.489182528709118E-4,0.0013797171351076242,23.44232225989741,1.1961070211441522E-5,-49.22250222398621
-18.078553653579228,1,-72.31421461431691,4.15594424186604E-4,-8.913775630405938E-4,9.835403133195543E-4,-60.14435264605308,-64.99973439978568,9.673943014088334E-7,0.0012639473611092856,5.59040512985551E-4,0.0013822880325525322,23.85566123424442,1.2005615448381754E-5,-49.20630405984148
-18.021084205276978,1,-72.08433682110791,4.603876976970773E-4,-7.985675284209391E-4,9.218110021082288E-4,-60.70736041571474,-60.03239464077809,8.49775104676742E-7,0.0011898506250454534,7.94712743447255E-4,0.0014310676097790704,33.735951404000005,1.2867799731294626E-5,-48.90503987086836
-18.01860161520994,1,-72.07440646083975,4.620488390495466E-4,-7.945039156151324E-4,9.191283831938783E-4,-60.73270654844364,-59.8156933286194,8.448407515081902E-7,0.001185017220999264,8.047939625502019E-4,0.001432739136797629,34.17954286817071,1.289783780809182E-5,-48.8948865598992
-17.961132166907678,1,-71.84452866763071,4.944345002357948E-4,-6.99657469888133E-4,8.567659997892553E-4,-61.34298851316904,-54.74808470989106,7.340882488549593E-7,0.0010367542890956222,0.0010322592933890984,0.0014632891001880631,44.87314629558496,1.3453696892929055E-5,-48.71161360345276
-17.95864957684064,1,-71.83459830736255,4.955601469308258E-4,-6.955443410119269E-4,8.540644359375943E-4,-61.370457199569735,-54.52665416381819,7.294703130298589E-7,0.001028716185859281,0.0010416462155445948,0.0014643270509730258,45.35635576393201,1.3472776043932516E-5,-48.70545007682775
-17.901180128538343,1,-71.6047205141534,5.156166107182811E-4,-6.004020682879285E-4,7.914535567287716E-4,-62.03176510204532,-49.34026802425222,6.264391941533285E-7,8.072375973756824E-4,0.0012453516471762484,0.0014844249137892116,57.04670084300349,1.3845130325355554E-5,-48.58704375424849
-17.89869753847131,1,-71.59479015388526,5.162152308180182E-4,-5.96314373699347E-4,7.887499781844987E-4,-62.061529442409224,-49.11325996122589,6.221707091476781E-7,7.961271600910329E-4,0.0012533616517796217,0.0014852358782938904,57.57531192049838,1.3860264623743704E-5,-48.582300549585945
-17.841228090168983,1,-71.36491236067593,5.242513799874567E-4,-5.02597048291145E-4,7.262870764033109E-4,-62.77815556874357,-43.787202958704555,5.275330565588795E-7,5.065917644807555E-4,0.0014174759530851929,0.0015056799455102066,70.33110677026309,1.4244465789271512E-5,-48.46355770353162
-17.83874550010196,1,-71.35498200040784,5.243414062911447E-4,-4.986080688665535E-4,7.23598708062234E-4,-62.810416008461516,-43.55364802858565,5.236386384534847E-7,4.92728745041318E-4,0.0014234339066781009,0.0015067782571590164,70.90425214425916,1.4265280768182361E-5,-48.45723197472129
-17.781276051799637,1,-71.12510420719855,5.208956216435535E-4,-4.079796103140279E-4,6.616823989776872E-4,-63.58738731429667,-38.06372820788945,4.378629066046843E-7,1.447043581141141E-4,0.0015327565237050797,0.0015400339219921642,84.60260607211475,1.4901953016061324E-5,-48.26762326275432
-17.778793461732622,1,-71.11517384693049,5.205052839794352E-4,-4.0415934416786306E-4,6.590263573594597E-4,-63.622381335782016,-37.822486671807155,4.3435811185513753E-7,1.2859958298514027E-4,0.0015360361380231747,0.001541952822242202,85.20982910061485,1.4939198113589255E-5,-48.25683149891818
-17.72132401343036,1,-70.88529605372143,5.063387090170483E-4,-3.181894244972125E-4,5.980485992616229E-4,-64.46571778834534,-32.13979803775162,3.5770012652208434E-7,-2.6397112270447494E-4,0.0015769899677413205,0.0015994391210175478,99.49586870352057,1.6073952007584E-5,-47.93892168005284
-17.718841423363333,1,-70.87536569345333,5.055056120675025E-4,-3.1460298090053043E-4,5.954415424417968E-4,-64.50373287924911,-31.889482960457286,3.545913229578795E-7,-2.816229933464018E-4,0.0015770577230907181,0.001602591243412862,100.11752999066252,1.6137558827698808E-5,-47.92186839793739
-17.661371975061094,1,-70.64548790024438,4.8158944618983555E-4,-2.3473030945697453E-4,5.357803436793255E-4,-65.42079476468994,-25.97818560249143,2.8709682978307344E-7,-7.007244843416335E-4,0.0015387150577969731,0.001691285566384139,114.47515506490122,1.7973328269015834E-5,-47.45401269286061
