# COMSOL 6.4 angular-spectrum results, interpolated to a uniform 1 degree grid
# Angle is measured from the upward surface normal; positive is toward +x
# 2D_RCS_m is scattering width per unit out-of-plane length, not 3D RCS in m^2
angle_deg,Sang_real,Sang_imag,Sang_magnitude,Sang_dB,Sang_phase_deg,normalized_intensity,Escat_1m_real_Vpm,Escat_1m_imag_Vpm,Escat_1m_magnitude_Vpm,Escat_1m_phase_deg,RCS_2D_m,RCS_2D_dB_ref_1m
-55,-1.2380046614167094e-05,8.835059697241571e-06,1.5209333779714759e-05,-96.35779618196496,144.48632697637427,2.3132383402277242e-10,-0.0008803019839942856,0.0024132581605982775,0.0025688025484101452,110.04082558023543,4.1461147260178845e-05,-43.82358684830883
-54,-7.439344154989418e-06,-1.1376442289130026e-05,1.3592912881876394e-05,-97.33374933044296,-123.18169074569315,1.847672806142812e-10,-0.002242522747689296,-0.0015096894701839374,0.0027033443306926715,-146.0511529769541,4.591796163106641e-05,-43.38017399182132
-53,9.99694515552585e-06,-6.137284714980837e-06,1.1730523266902e-05,-98.6136522950134,-31.546430241923375,1.3760517611532915e-10,0.0017880403776323953,-0.0014990691075659759,0.0023333016481592024,-39.97601793598116,3.4207524287567604e-05,-44.65878356015309
-52,7.333625777605452e-06,1.3196254689026193e-05,1.5097125715301074e-05,-96.42211457043443,60.93752277381656,2.2792320486360496e-10,0.0012683073061860524,0.002879346436060435,0.0031463056624839946,66.2272552689624,6.219875505885527e-05,-42.06218307857096
-51,-1.2513810221451563e-05,1.1377708105832057e-05,1.6912944391797132e-05,-95.43561558098943,137.72250836250544,2.8604768800002204e-10,-0.0034907648410548303,0.00033262926151299234,0.0035065768779764736,174.5568138352396,7.725855799564787e-05,-41.12053402072345
-50,-1.5164526849961541e-05,-1.2613418142005229e-05,1.972463413623358e-05,-94.09982087171278,-140.24728809888492,3.890611918082711e-10,0.0001612267881430679,-0.0047341755543449295,0.004736920123516128,-88.04949233521647,0.00014098470220693185,-38.50828008674744
-49,8.14951971699837e-06,-2.010329715640089e-05,2.169233109133966e-05,-93.27387551046974,-67.9332401689577,4.705572281763013e-10,0.005278484891270968,0.0016637227664088698,0.005534471627070018,17.494301805024875,0.00019245632963568848,-37.15667800959896
-48,2.1678052228760662e-05,4.114529576046867e-06,2.2065069727173752e-05,-93.12589391626965,10.7469967496732,4.868673020650395e-10,-0.0026747238444913136,0.006081630464290668,0.006643822450101953,113.74007300716771,0.0002773421666394129,-35.56984095995064
-47,2.0476636204074064e-06,2.3263976662457103e-05,2.335391908125248e-05,-92.63280457815213,84.96986655151305,5.454055364536887e-10,-0.006156088728850718,-0.0049363184533683675,0.007890796430687332,-141.27528505224757,0.0003912204490852452,-34.07578452727036
-46,-2.088310359184533e-05,6.315226498272652e-06,2.1817105705208205e-05,-93.22405728359671,163.1742410497261,4.759861013522285e-10,0.006499561339438834,-0.005766403238608929,0.008688826383083477,-41.57940097964584,0.0004743534975962174,-33.23897892846265
